# flux_incident[x, y] in W/m^2: x is index of the azimuthal position on the receiver surface, from South, counter clockwise; and y: index of height on the receiver from bottom to top.
-4.612243394760230876e+04,-4.394838533341004950e+04,-6.945762905104793390e+03,4.346184405646420782e+04,1.783210541289777611e+05,1.819589915845013165e+05,1.504310735742867691e+05,1.184836995805575571e+05,2.206807621885996923e+04,-1.101401834531234090e+04,-5.414838777585362550e+04,-4.973099415143793158e+04
-2.810993677071493585e+04,-2.226266848464922805e+04,2.111498741463263650e+04,1.192435982468292641e+05,3.276382898357775994e+05,3.219319817376343999e+05,2.652620042597435531e+05,2.393237108665901760e+05,8.527259276849473827e+04,1.615170107728946641e+04,-4.279412353441614687e+04,-3.737057754099796148e+04
-5.122984926051166440e+03,-4.262561224719518577e+03,6.236320061390757473e+04,2.023976379683677515e+05,4.713656658638134832e+05,4.746221338954239036e+05,4.095104761990954285e+05,3.609757312909180764e+05,1.790993782257496205e+05,5.010127670068479347e+04,-2.461229259669357998e+04,-1.837854689843742381e+04
3.537136076149927976e+04,3.720258624990330281e+04,1.331208195793202322e+05,3.332684406300768023e+05,6.096927428781480994e+05,6.353674893010843080e+05,6.042520218640051316e+05,5.539375379912254866e+05,2.723152256754215341e+05,1.118791218728766835e+05,2.026501048037983537e+03,5.378429360281953450e+03
7.482414184584528266e+04,8.830980243303826137e+04,2.037801210784073337e+05,4.789468294821904274e+05,7.766016456266049063e+05,8.084261572326130699e+05,7.688908504216824658e+05,7.226741918940941105e+05,4.283954301526935305e+05,2.027762971213640121e+05,4.395212039275746065e+04,3.443272412574820919e+04
1.337953000118804048e+05,1.679644189206384181e+05,3.233215427792175324e+05,6.048827293431014987e+05,8.748822614892822457e+05,9.143478919819582952e+05,9.195738740386627614e+05,8.545411523989840643e+05,5.739888926788404351e+05,2.957541955249783350e+05,8.674668779856379842e+04,9.232944910611951491e+04
2.016867316255049664e+05,2.556454845089492737e+05,4.665788603795410600e+05,7.365425897130714729e+05,9.580758340860157041e+05,9.983952738992165541e+05,1.016369404341382440e+06,9.865487200324161677e+05,7.304754141351459548e+05,4.201696144770971732e+05,1.572355832129364135e+05,1.437784906527845596e+05
2.793810020884419791e+05,3.286543584690016578e+05,5.733516043802745407e+05,8.165657973070655717e+05,9.502615678088301793e+05,1.024192885089823394e+06,1.067083111149472883e+06,1.040953158972296515e+06,8.302056829976548906e+05,5.811276503829706926e+05,2.103977964858935156e+05,1.899924760002040130e+05
3.471420233211131999e+05,4.254730303976776777e+05,6.927650944707365707e+05,8.741663583681606688e+05,9.951415819512917660e+05,1.078758594558612909e+06,1.056869296520475298e+06,1.041922991327425931e+06,9.135669586062288145e+05,6.786274920477726264e+05,2.779918853080684203e+05,2.419757296965360874e+05
4.292638723762122099e+05,5.171319552511617076e+05,7.529316641588931670e+05,8.828711710444175405e+05,9.650931179375610081e+05,9.933476038972492097e+05,1.064084990990755381e+06,9.814946562085734913e+05,9.365614638811207842e+05,7.156332770917832386e+05,3.337502505716792075e+05,3.052254420827880385e+05
5.002308280340149649e+05,5.741232393008701038e+05,7.528375740124935983e+05,8.638996033281103009e+05,9.063113206580391852e+05,9.826316399981137365e+05,1.033685145329087041e+06,9.932865771800951334e+05,9.268584627290024655e+05,7.239149547505551018e+05,3.579804143681493006e+05,3.417054550474670832e+05
5.326029342752629891e+05,6.193206405289564282e+05,7.836565510880060028e+05,8.361966751623299206e+05,8.634069366464654449e+05,9.632660144063717453e+05,9.773498703519613482e+05,9.540108283046275610e+05,8.760088575875343522e+05,7.236327892015969846e+05,3.828089163998974254e+05,3.771705452759207692e+05
5.696154064909620211e+05,6.434489423248287058e+05,7.306145412776564481e+05,8.170241917210086249e+05,8.307668191764852963e+05,9.262857006432344206e+05,9.659132031762492843e+05,9.229573415469557513e+05,8.540131650233147666e+05,7.203905433498482453e+05,4.136557339434634778e+05,3.969198175278037670e+05
6.263837492320353631e+05,6.660095420401573647e+05,7.253468194156589452e+05,8.012411410008943640e+05,8.286486017139330506e+05,8.967054579786661780e+05,9.509583033988199895e+05,8.942448650764696067e+05,8.594673898024350638e+05,6.605281512357228203e+05,4.194939915062935906e+05,4.267635578552024090e+05
6.401652527083893074e+05,6.798167697811857797e+05,7.164396488139408175e+05,7.759061075037854025e+05,8.019240235394081101e+05,8.870999011159177171e+05,9.316106288895010948e+05,8.593737831088171806e+05,8.165262932613287121e+05,6.492587871992419241e+05,4.214936941942513804e+05,4.492980613817403209e+05
6.473228921470262576e+05,6.633390137043570867e+05,6.985640482450909913e+05,7.814813964023670414e+05,8.063413252703463659e+05,9.149311136987988139e+05,9.323406504057561979e+05,8.825863601648198674e+05,8.037443840826456435e+05,6.191461175791160204e+05,4.331430039781577652e+05,4.769271657460294082e+05
6.464119278310040245e+05,6.750854944223001366e+05,6.866215326365632936e+05,7.987726506589750061e+05,7.854873346992365550e+05,9.015748915508033242e+05,9.307699632642992074e+05,8.736097128130292986e+05,8.320897446416250896e+05,6.285286128477719612e+05,4.436628067104507354e+05,4.817099603334504645e+05
6.372190495680395979e+05,6.883461373002453474e+05,6.805549953215739224e+05,7.993344528417580295e+05,8.235620795329194516e+05,9.271691033468738897e+05,9.888833961147861555e+05,8.542859032910367241e+05,8.498361222278384957e+05,6.386115836148415692e+05,4.531594140447117388e+05,4.590184716116422787e+05
6.030217192288382212e+05,6.411330464192740619e+05,6.417044678014962701e+05,8.023064617785012815e+05,8.074043808559956960e+05,9.603372184451142093e+05,9.744397633069278672e+05,8.545681720945214620e+05,8.482552533103462774e+05,6.069130907029897207e+05,4.321121107625829754e+05,4.320029209130157251e+05
5.354747091319048777e+05,5.653265011939578690e+05,5.740821885558399372e+05,8.088665519754429115e+05,7.765301115116926376e+05,9.419436554545669351e+05,9.899737617623577826e+05,8.742107697338189464e+05,8.380446587279654341e+05,5.672044656398028601e+05,4.164906908500588033e+05,4.003351839474047301e+05
4.694420687997010536e+05,4.979912291846982553e+05,5.343829204707050230e+05,7.439501648866279284e+05,7.941777898168796673e+05,9.777328694362366805e+05,1.025100935131708276e+06,8.426240271155398805e+05,7.815741781647352036e+05,4.904787655069817556e+05,3.585008336752172909e+05,3.428088323203133186e+05
3.782719486754291574e+05,3.869440972474311711e+05,4.308057295905033243e+05,6.989575149962230353e+05,7.704770418074942427e+05,9.386337995289317332e+05,9.535268625099903438e+05,8.235140429217808414e+05,6.922503951577441767e+05,3.932329721644213423e+05,2.793820306979162269e+05,3.018724842820469057e+05
3.005405831812848337e+05,2.948065944366178592e+05,3.301759419803990168e+05,6.076891270409928402e+05,7.015757732269610278e+05,8.602326141997160157e+05,8.546714878322171280e+05,7.072961534910376649e+05,5.733473806971653830e+05,3.006043922455865541e+05,2.170276655168799625e+05,2.200041434669877344e+05
2.106301050061080605e+05,2.000825135320998379e+05,2.230392925330080907e+05,4.833288777389521711e+05,6.158942617342994781e+05,7.623405316396590788e+05,7.750185414537100587e+05,5.849053004511654144e+05,4.453276318963621743e+05,2.177927944239837816e+05,1.596528324495682609e+05,1.324254061167801556e+05
1.270366552260703756e+05,1.184612440614109364e+05,1.564624233547196782e+05,3.525053723559911014e+05,5.153360075243489118e+05,6.545139610393166076e+05,6.264058666241464671e+05,4.477840799609599635e+05,3.321348347102617845e+05,1.394453374097301858e+05,9.256928587695934402e+04,9.532616367406497011e+04
8.080907681019858865e+04,5.989065871804550989e+04,7.181159534617776808e+04,2.588649813082872133e+05,3.823927275348830153e+05,4.833640082096733968e+05,4.636752710995837115e+05,3.105193480178287136e+05,2.113828559287996904e+05,8.113486421092686942e+04,4.198194594937538932e+04,4.388161922424146906e+04
3.666730110721598612e+04,2.928265761269769064e+04,3.529223625582562818e+04,1.700425368891790276e+05,2.729781965499020880e+05,3.754794217613928486e+05,3.224491799478768953e+05,2.102209449009447708e+05,1.395183903978299932e+05,2.606339167510482002e+04,5.060445337592966098e+03,1.876058958572272604e+04
-2.430672797372312743e+03,3.208732289912375563e+03,1.155788308892406531e+04,9.843156985137506854e+04,1.864887257508993789e+05,2.399684586553705158e+05,2.120963698627774429e+05,1.264948337051589770e+05,7.945771859511524963e+04,2.468694562731747283e+03,-8.408809987850592734e+03,-3.924159739786610771e+03
